H????B~,0,0,0
H???CB},0,0,0
H???CB~,14,3,4
H???E?~,0,0,0
H???EA},0,0,0
H???EA~,17,5,14
H???EB},20,4,24
H???EB~,20,6,9
H???F?^,0,0,0
H???FA],0,0,0
H???FA^,16,11,21
H???FB],26,8,22
H???FB^,29,7,19
H???FB},27,9,30
H???FB~,30,9,10
H???FaM,0,0,0
H???FaN,14,17,26
H???FbM,22,16,26
H???FbN,26,16,28
H???Fbm,36,21,15
H???Fbn,41,10,19
H???Fb},40,20,20
H???Fb~,42,12,9
H???Fre,36,12,30
H???Frf,37,20,27
H???Fru,52,16,12
H???Frv,53,17,11
H???Fr},60,15,15
H???Fr~,56,15,6
H???Fzy,60,20,0
H???Fzz,71,15,2
H???Fz},72,18,6
H???Fz~,73,17,1
H???F~},84,14,0
H???F~~,85,19,1
H??CAB{,0,0,0
H??CAB},20,2,11
H??CAB~,26,4,6
H??CBA\,0,0,0
H??CBA^,23,2,20
H??CBB[,0,0,0
H??CBB\,29,4,12
H??CBB],27,2,10
H??CBB^,35,5,20
H??CBB{,22,2,64
H??CBB|,37,4,19
H??CBB},37,4,29
H??CBB~,32,6,10
H??CBaL,0,0,0
H??CBaN,23,2,29
H??CBbK,0,0,0
H??CBbL,30,7,14
H??CBbM,23,2,20
H??CBbN,36,12,30
H??CBbk,44,8,28
H??CBbl,51,7,12
H??CBbm,53,6,18
H??CBbn,45,9,18
H??CBb{,57,12,45
H??CBb|,55,9,20
H??CBb},46,8,27
H??CBb~,39,11,10
H??CBrE,17,2,29
H??CBrF,35,13,42
H??CBrc,48,4,16
H??CBrd,49,7,19
H??CBre,45,6,33
H??CBrf,43,13,32
H??CBrs,57,6,27
H??CBrt,69,9,13
H??CBru,60,8,13
H??CBrv,52,12,16
H??CBr{,68,8,44
H??CBr|,70,11,27
H??CBr},59,10,19
H??CBr~,50,14,8
H??CBzq,43,9,29
H??CBzr,50,13,27
H??CBzw,36,8,36
H??CBzx,86,11,11
H??CBzy,59,10,8
H??CBzz,58,16,10
H??CBz{,35,10,55
H??CBz|,86,14,32
H??CBz},64,13,14
H??CBz~,57,17,10
H??CCF{,10,2,6
H??CCF},16,4,10
H??CCF~,18,3,15
H??CE@{,0,0,0
H??CE@},32,3,40
H??CEA{,0,0,0
H??CEA|,25,7,16
