F??Fw,0,0,0
F?AFo,0,0,0
F?AFw,18,15,12
F?B@w,0,0,0
F?BDo,0,0,0
F?BDw,26,29,26
F?BFo,36,32,32
F?BFw,42,46,32
F?Bco,0,0,0
F?Bcw,29,23,20
F?Beo,32,18,50
F?Bew,43,28,54
F?Bfo,39,51,54
F?Bfw,52,58,58
F?BvO,36,12,42
F?BvW,43,18,44
F?Bvo,36,12,72
F?Bvw,41,20,74
F?B~o,30,10,10
F?B~w,31,13,11
F?`F_,0,0,0
F?`Fo,27,8,31
F?`Fw,44,20,38
F?`cg,0,0,0
F?`cw,31,2,39
F?`e_,0,0,0
F?`eg,28,11,27
F?`eo,27,6,33
F?`ew,41,24,67
F?`f_,30,12,46
F?`fg,40,14,56
F?`fo,48,20,79
F?`fw,50,35,75
F?`uO,23,3,46
F?`uW,48,27,69
F?`v?,28,4,56
F?`vG,33,17,60
F?`vO,39,16,85
F?`vW,36,34,90
F?`v_,24,24,48
F?`vg,31,19,62
F?`vo,36,23,58
F?`vw,37,32,61
F?aN_,42,5,16
F?aNo,52,29,24
F?aNw,60,36,24
F?bB_,0,0,0
F?bBo,39,12,69
F?bDg,25,15,35
F?bDo,28,15,32
F?bF_,25,27,48
F?bFg,41,32,52
F?bFo,49,31,64
F?bFw,57,50,61
F?bLo,53,16,56
F?bLw,64,36,50
F?bN_,52,23,69
F?bNg,60,41,67
F?bNo,63,39,66
F?bNw,73,57,62
F?bao,37,8,65
F?baw,36,23,73
F?bbo,32,15,107
F?bbw,36,30,110
F?bcw,44,30,51
F?beg,34,21,55
F?beo,42,15,75
F?bew,44,31,79
F?bf_,27,29,76
F?bfg,35,35,84
F?bfo,41,35,100
F?bfw,47,51,100
F?bmo,49,21,70
F?bmw,54,38,68
F?bno,49,41,90
F?bnw,52,58,90
F?bro,23,21,73
F?brw,24,31,75
F?bvO,40,26,94
F?bvW,40,44,96
F?bv_,16,50,62
F?bvg,27,32,85
F?bvo,29,27,74
F?bvw,30,37,76
F?b~o,34,34,42
F?b~w,35,42,43
F?opo,32,0,52
F?osW,33,3,39
F?otO,25,9,26
F?otW,32,18,70
F?oto,27,14,99
F?ouW,42,4,59
F?ov?,22,4,54
F?ovO,30,11,59
F?ovW,33,28,99
F?ov_,24,16,72
F?ovo,27,24,75
F?ovw,26,34,70
F?o|W,35,33,72
F?o|o,25,32,103
F?o}W,48,36,63
F?o~O,38,28,94
F?o~W,34,46,100
F?o~_,26,22,69
F?o~o,28,33,69
F?o~w,31,44,68
F?q_w,26,8,54
F?q`o,28,14,58
F?qaw,33,24,63
F?qb_,34,2,84
F?qbo,38,16,86
F?qbw,38,34,88
F?qcw,44,18,38
F?qdo,34,20,66
F?qeo,40,13,47
F?qew,45,30,65
F?qf_,30,19,91
F?qfo,41,35,84
F?qfw,50,53,77
F?qjo,34,28,98
F?qjw,38,43,99
F?qkw,60,21,39
F?qlo,45,28,67
F?qmo,51,18,71
F?qmw,55,33,72
F?qn_,46,24,90
F?qno,48,41,91
F?qnw,54,56,90
F?qpo,30,15,95
F?qrO,32,15,93
F?qr_,30,8,74
F?qrg,32,14,80
F?qro,27,15,84
F?qrw,27,26,87
F?qtg,40,14,65
F?qto,36,20,80
F?qtw,40,30,83
F?quW,55,28,64
F?qvG,33,22,105
F?qvO,41,22,97
F?qvW,42,38,100
F?qv_,26,20,80
F?qvg,31,29,80
F?qvo,27,31,82
F?qvw,32,40,82
F?qzw,27,41,86
F?q|w,39,44,87
F?q~W,49,55,96
F?q~_,28,26,86
F?q~g,30,40,84
F?q~o,32,42,80
F?q~w,34,55,79
F?rDo,50,16,60
F?rF_,40,24,62
F?rFo,57,32,58
F?rFw,60,48,60
F?rLw,67,42,59
F?rN_,53,26,68
F?rNo,63,42,63
F?rNw,76,56,57
F?rdo,32,29,99
F?rdw,34,45,101
F?re_,32,8,80
F?reg,38,18,84
F?reo,46,19,75
F?rew,49,35,76
F?rf_,28,31,101
F?rfg,34,41,105
F?rfo,39,48,93
F?rfw,42,65,93
F?rmw,63,41,76
F?rn_,50,37,93
F?rng,51,54,95
F?rno,56,53,91
F?rnw,59,71,90
F?rv_,24,34,82
F?rvg,28,40,86
F?rvo,29,42,72
F?rvw,30,53,73
F?r~o,34,54,68
F?r~w,35,65,69
F?zPw,28,26,86
F?zTW,48,35,97
F?zTo,29,13,58
F?zTw,29,21,60
F?zUW,58,22,80
F?zUo,36,27,54
F?zVO,38,21,58
F?zVW,41,32,57
F?zV_,22,10,68
F?zVo,28,15,67
F?zVw,32,22,66
F?z\w,30,30,60
F?z^o,32,23,65
F?z^w,35,31,64
F?zcw,34,37,82
F?zew,40,34,56
F?zf_,36,27,63
F?zfo,42,31,57
F?zfw,44,40,59
F?zmw,45,43,55
F?zno,44,38,61
F?znw,49,47,60
F?zuo,29,14,67
F?zvO,42,27,61
F?zv_,22,11,77
F?zvg,25,15,80
F?zvo,29,16,75
F?zvw,30,24,76
F?z~w,34,33,73
F?~vW,33,25,72
F?~v_,24,12,12
F?~vo,26,13,26
F?~vw,26,16,14
F?~~w,27,18,15
FCOf?,0,0,0
FCOf_,27,0,18
FCOfo,38,0,40
FCOfw,30,12,30
FCQVO,49,2,33
FCQV_,43,8,24
FCQVg,57,9,24
FCQVo,54,16,42
FCQVw,54,27,36
FCQb?,0,0,0
FCQbO,21,0,24
FCQb_,31,0,34
FCQbo,36,2,42
FCQeG,26,11,23
FCQeO,31,4,10
FCQeW,38,7,45
FCQe_,25,1,19
FCQeo,41,0,37
FCQf?,25,5,50
FCQfG,34,7,34
FCQfO,33,13,59
FCQfW,41,8,55
FCQf_,34,5,39
FCQfg,38,2,51
FCQfo,36,5,49
FCQfw,35,14,51
FCQrO,26,0,34
FCQrW,33,6,51
FCQuW,40,18,62
FCQug,48,12,30
FCQuo,44,7,53
FCQuw,47,16,54
FCQvO,33,4,53
FCQvW,33,10,57
FCQv_,42,4,45
FCQvg,44,7,53
FCQvo,34,8,58
FCQvw,35,16,59
FCRTo,41,17,62
FCRTw,42,30,63
FCRV?,35,10,45
FCRVO,44,15,61
FCRVW,45,27,63
FCRV_,45,13,47
FCRVg,51,22,47
